VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD
2306030001,e_e000295,1,집,2023-06-03,2023-06-03,경기 성남시 분당구 수내로 39,경기 성남시 분당구 수내동 1-1,,,3180039,4113510200,,,,21,,,,,,,
2306030002,e_e000295,2,트레이더스 홀세일 클럽 안산점,2023-06-03,2023-06-03,경기 안산시 단원구 중앙대로 397,경기 안산시 단원구 신길동 1687,126.7850156,37.3312518,,,POI02001TR030421V,트레이더스홀세일클럽 안산점,90,4,N,6,,5,3,5,
2306030003,e_e000295,3,백령 할인마트,2023-06-03,2023-06-03,인천 옹진군 영흥면 영흥로 164-10,인천 옹진군 영흥면 내리 8-31,126.4939731,37.2583584,,,POI01000000E0UO1T,백령할인마트,30,4,N,9,,5,3,5,
2306030007,e_e000295,4,아침 풍경펜션,2023-06-03,2023-06-04,인천 옹진군 영흥면 영흥서로380번길 101-3,인천 옹진군 영흥면 내리 1212-32,,,,,POI01000000894J66,아침풍경펜션,540,24,N,6,3,5,5,5,
2306040001,e_e000295,5,사이 바다,2023-06-04,2023-06-04,인천 옹진군 영흥면 영흥북로 374-25,인천 옹진군 영흥면 내리 724-132,,,,,POI010000006DU6YD,하이바다,60,4,N,1,,3,1,2,
2306040002,e_e000295,6,중앙중학교,2023-06-04,2023-06-04,경기 안산시 단원구 안산천서로 65,경기 안산시 단원구 고잔동 673-2,,,,,POI02001TR026886V,중앙중학교,0,22,,,,,,,
2306040003,e_e000295,7,집,2023-06-04,2023-06-05,경기 성남시 분당구 수내로 39,경기 성남시 분당구 수내동 1-1,,,3180039,4113510200,,,540,21,,,,,,,
2306090001,e_e000305,1,사무실,2023-06-09,2023-06-09,서울 강서구 마곡중앙14로 53,서울 강서구 마곡동 762-1,,,3155058,1150010500,,,,23,,,,,,,11
2306090002,e_e000305,3,국립 무의도 자연휴양림,2023-06-09,2023-06-10,인천 중구 하나개로 74,인천 중구 무의동 산 151-1,,,,,POI01000TR010946V,무의도 국립자연휴양림,360,24,N,2,9,3,3,3,
2306090003,e_e000305,2,선녀풍,2023-06-09,2023-06-09,인천 중구 용유서로 272,인천 중구 을왕동 689-1,126.3787308,37.4443955,,,POI0100000088OMYK,선녀풍,30,11,Y,4,,5,5,5,
2306100001,e_e000305,9,지우 팰리스,2023-06-10,2023-06-11,서울 서대문구 증가로19길 7,서울 서대문구 북가좌동 286-16,,,,,POI01000000CEYZDW,지우팰리스입구,1050,21,,,,,,,
2306100002,e_e000305,5,거해 짬뽕 순두부,2023-06-10,2023-06-10,인천 중구 대무의로 281,인천 중구 무의동 180-16,,,,,POI01000000EWELEJ,거해짬뽕순두부,60,11,N,2,,3,2,2,
2306100003,e_e000305,4,국립 무의도 자연휴양림,2023-06-10,2023-06-10,인천 중구 하나개로 74,인천 중구 무의동 산 151-1,,,,,POI01000TR010946V,무의도 국립자연휴양림,30,7,N,2,,3,3,3,
2306100004,e_e000305,6,실미해수욕장,2023-06-10,2023-06-10,인천 중구 큰무리로 108,인천 중구 무의동 768-29,,,,,POI02001TR018958V,실미해수욕장,60,1,N,5,,1,1,1,
2306100005,e_e000305,7,메이 드림,2023-06-10,2023-06-10,인천 중구 용유서로479번길 42,인천 중구 을왕동 875-1,,,,,POI02001TR010406V,메이드림,60,11,N,2,,5,5,5,
2306100006,e_e000305,8,가마솥 닭 한 마리 북가좌동 직영점,2023-06-10,2023-06-10,서울 서대문구 응암로 76,서울 서대문구 북가좌동 300-2,,,,,POI02001TR000810V,가마솥닭한마리 북가좌동직영점,30,11,N,9,,5,5,5,
2306170001,e_e000335,1,친구 친지 집,2023-06-17,2023-06-17,경기 화성시 동탄기흥로 447-16,경기 화성시 오산동 976-6,,,3012058,4159012900,,,,22,,,,,,,11
2306170002,e_e000335,2,타임 테라스 A 블록,2023-06-17,2023-06-17,경기 화성시 동탄중앙로 220,경기 화성시 반송동 96,127.0692435,37.2049197,,,POI010000006ROP9F,타임테라스 A블럭,30,4,Y,11,,5,5,4,
2306170003,e_e000335,3,올리브영 석촌역점,2023-06-17,2023-06-17,서울 송파구 백제고분로 387,서울 송파구 송파동 19-9,127.1085777,37.5064894,,,POI02000TR000004V,올리브영 석촌역점,30,10,N,9,,5,2,5,
2306170004,e_e000335,4,인딕슬로우 송리단길점,2023-06-17,2023-06-17,서울 송파구 백제고분로45길 28,서울 송파구 송파동 55-7,127.1086398,37.5103393,,,POI02000TR000005V,인딕슬로우 송리단길점,60,11,N,2,,5,5,5,
2306170005,e_e000335,5,워디 아더,2023-06-17,2023-06-17,서울 송파구 오금로16길 16,서울 송파구 송파동 37-4,127.108169,37.510165,,,POI01000000ERK95Z,원디아더,30,11,N,1,,4,4,4,
2306170006,e_e000335,6,스타필드 코엑스몰,2023-06-17,2023-06-17,서울 강남구 영동대로 513,서울 강남구 삼성동 159-9,127.0597769,37.5113184,,,POI01000TR017326V,스타필드 코엑스몰,60,4,Y,1,,5,5,5,
2306170007,e_e000335,7,탑 플레이스 PC방 신천점,2023-06-17,2023-06-17,서울 송파구 백제고분로7길 24,서울 송파구 잠실동 191-7,127.0815082,37.5104008,,,POI02000TR000006V,탑플레이스PC방 신천점,60,3,N,6,,5,5,5,
2306170008,e_e000335,8,잠실종합운동장,2023-06-17,2023-06-17,서울 송파구 올림픽로 25,서울 송파구 잠실동 10-1,127.0730249,37.5145906,,,POI01000TR040552V,잠실종합운동장,150,3,Y,1,,5,5,5,
2306170009,e_e000335,9,어반 스톤 오피스텔,2023-06-17,2023-06-18,,,,,,,,,30,22,,,,,,,4159012900
2305270001,e_e000365,1,집,2023-05-27,2023-05-27,서울시 마포대로 24길 16,,,,,,,,,21,,,,,,,1144010100
2305270002,e_e000365,5,대이작도 마린 스포츠,2023-05-27,2023-05-28,대이작도 339,,,,,,,,780,24,N,5,8,4,5,5,2872037000
2305270003,e_e000365,2,대이작도 마린 스포츠,2023-05-27,2023-05-27,대이작도 339,,,,,,,,2850,24,N,5,8,5,5,5,2872037000
2305270004,e_e000365,3,소이작도 부근 배 낚시터,2023-05-27,2023-05-27,대이작도와 소이작도 사이 바다에서 낚시배를 탐,,,,,,,,90,5,N,1,,5,5,5,2872037000
2305270005,e_e000365,4,캔 아버니 카페 편의점,2023-05-27,2023-05-27,대이작도 78,,,,,,,,60,11,N,5,,4,3,4,2872037000
2305280001,e_e000365,6,바지락 체험어장,2023-05-28,2023-05-28,대이작도,,,,,,,,180,13,N,5,,5,5,5,2872037000
2305280002,e_e000365,7,대이작 마린 스포츠,2023-05-28,2023-05-29,대이작도 339,,,,,,,,1050,24,Y,11,8,4,3,3,2872037000
2305290001,e_e000365,9,두루두루 대부도점,2023-05-29,2023-05-29,경기 안산시 단원구 대부황금로 764,,,,,,POI02001TR008263V,두루두루 대부도점,90,11,N,2,,2,1,1,4127311000
2305290002,e_e000365,8,대이작도 해안탐방로,2023-05-29,2023-05-29,대이작도,,,,,,,,120,1,N,1,,4,4,5,2872037000
2305290003,e_e000365,10,집,2023-05-29,2023-05-30,서울시 마포대로 24길 16,,,,,,,,210,21,,,,,,,1144010100
